NAMESPACE         LAST SEEN   TYPE      REASON                   OBJECT                                                        MESSAGE
hindsight         19m         Normal    Started                  pod/hindsight-groq-healthcheck-29664105-vn6dr                 Started container groq-healthcheck
hindsight         19m         Normal    SawCompletedJob          cronjob/hindsight-groq-healthcheck                            Saw completed job: hindsight-groq-healthcheck-29664105, condition: Complete
hindsight         19m         Normal    Completed                job/hindsight-groq-healthcheck-29664105                       Job completed
hindsight         19m         Normal    SuccessfulDelete         cronjob/hindsight-groq-healthcheck                            Deleted job hindsight-groq-healthcheck-29664060
hindsight         4m6s        Normal    SuccessfulCreate         job/hindsight-groq-healthcheck-29664120                       Created pod: hindsight-groq-healthcheck-29664120-lrzdp
hindsight         4m6s        Normal    SuccessfulCreate         cronjob/hindsight-groq-healthcheck                            Created job hindsight-groq-healthcheck-29664120
hindsight         4m6s        Normal    Created                  pod/hindsight-groq-healthcheck-29664120-lrzdp                 Created container: groq-healthcheck
hindsight         4m6s        Normal    Pulled                   pod/hindsight-groq-healthcheck-29664120-lrzdp                 Container image "docker.io/curlimages/curl:8.16.0@sha256:463eaf6072688fe96ac64fa623fe73e1dbe25d8ad6c34404a669ad3ce1f104b6" already present on machine
hindsight         4m5s        Normal    Started                  pod/hindsight-groq-healthcheck-29664120-lrzdp                 Started container groq-healthcheck
hindsight         4m2s        Normal    Completed                job/hindsight-groq-healthcheck-29664120                       Job completed
hindsight         4m2s        Normal    SawCompletedJob          cronjob/hindsight-groq-healthcheck                            Saw completed job: hindsight-groq-healthcheck-29664120, condition: Complete
hindsight         4m2s        Normal    SuccessfulDelete         cronjob/hindsight-groq-healthcheck                            Deleted job hindsight-groq-healthcheck-29664075
monitoring        2m33s       Warning   DNSConfigForming         pod/kube-prometheus-stack-prometheus-node-exporter-tq7w7      Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 185.12.64.1 185.12.64.2 2a01:4ff:ff00::add:2
monitoring        2m29s       Warning   DNSConfigForming         pod/kube-prometheus-stack-prometheus-node-exporter-5vcmr      Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 185.12.64.1 185.12.64.2 2a01:4ff:ff00::add:2
monitoring        2m26s       Warning   DNSConfigForming         pod/kube-prometheus-stack-prometheus-node-exporter-4k7sr      Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 185.12.64.2 185.12.64.1 2a01:4ff:ff00::add:1
kube-system       18s         Warning   DNSConfigForming         pod/coredns-dbd8c85f7-8f64r                                   Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 185.12.64.2 185.12.64.1 2a01:4ff:ff00::add:1
