NAMESPACE         LAST SEEN   TYPE      REASON               OBJECT                                                       MESSAGE
hindsight         15m         Normal    Started              challenge/hindsight-tls-1-3996921148-3833620331              Challenge scheduled for processing
hindsight         15m         Normal    Pulled               pod/cm-acme-http-solver-wcmm4                                Container image "quay.io/jetstack/cert-manager-acmesolver:v1.20.2" already present on machine
hindsight         15m         Normal    Started              pod/cm-acme-http-solver-wcmm4                                Started container acmesolver
hindsight         14m         Normal    Sync                 ingress/hindsight                                            Scheduled for sync
hindsight         14m         Normal    Sync                 ingress/hindsight                                            Scheduled for sync
hindsight         14m         Normal    Sync                 ingress/cm-acme-http-solver-8vrxp                            Scheduled for sync
hindsight         14m         Normal    Sync                 ingress/cm-acme-http-solver-8vrxp                            Scheduled for sync
hindsight         14m         Normal    Sync                 ingress/cm-acme-http-solver-8vrxp                            Scheduled for sync
hindsight         14m         Normal    Sync                 ingress/hindsight                                            Scheduled for sync
hindsight         14m         Normal    DomainVerified       challenge/hindsight-tls-1-3996921148-3833620331              Domain "hindsight.activi.io" verified with "HTTP-01" validation
hindsight         14m         Normal    Killing              pod/cm-acme-http-solver-wcmm4                                Stopping container acmesolver
hindsight         14m         Normal    Complete             order/hindsight-tls-1-3996921148                             Order completed successfully
hindsight         14m         Normal    CertificateIssued    certificaterequest/hindsight-tls-1                           Certificate fetched from issuer successfully
hindsight         14m         Normal    Issuing              certificate/hindsight-tls                                    The certificate has been successfully issued
hindsight         13m         Normal    Created              pod/hindsight-groq-healthcheck-29664045-k8blq                Created container: groq-healthcheck
hindsight         13m         Normal    SuccessfulCreate     cronjob/hindsight-groq-healthcheck                           Created job hindsight-groq-healthcheck-29664045
hindsight         13m         Normal    Pulled               pod/hindsight-groq-healthcheck-29664045-k8blq                Container image "docker.io/curlimages/curl:8.16.0@sha256:463eaf6072688fe96ac64fa623fe73e1dbe25d8ad6c34404a669ad3ce1f104b6" already present on machine
hindsight         13m         Normal    SuccessfulCreate     job/hindsight-groq-healthcheck-29664045                      Created pod: hindsight-groq-healthcheck-29664045-k8blq
hindsight         13m         Normal    Started              pod/hindsight-groq-healthcheck-29664045-k8blq                Started container groq-healthcheck
hindsight         13m         Normal    SuccessfulDelete     cronjob/hindsight-groq-healthcheck                           Deleted job hindsight-groq-healthcheck-29664000
hindsight         13m         Normal    SawCompletedJob      cronjob/hindsight-groq-healthcheck                           Saw completed job: hindsight-groq-healthcheck-29664045, condition: Complete
hindsight         13m         Normal    Completed            job/hindsight-groq-healthcheck-29664045                      Job completed
